,UF,codMun,AreaPrestacao
445,MG,3141207,Setor 2
446,MG,3141306,Setor 2
447,MG,3141405,Setor 2
448,MG,3141504,Setor 2
449,MG,3141603,Setor 2
450,MG,3141702,Setor 2
451,MG,3141801,Setor 2
452,MG,3141900,Setor 2
453,MG,3142007,Setor 2
454,MG,3142106,Setor 2
455,MG,3142205,Setor 2
456,MG,3142254,Setor 2
457,MG,3142304,Setor 2
458,MG,3142502,Setor 2
459,MG,3142601,Setor 2
460,MG,3142700,Setor 2
461,MG,3142908,Setor 2
462,MG,3143005,Setor 2
463,MG,3143104,Setor 2
464,MG,3143153,Setor 2
465,MG,3143302,Setor 2
466,MG,3143401,Setor 2
467,MG,3143450,Setor 2
468,MG,3143500,Setor 2
469,MG,3143609,Setor 2
470,MG,3143708,Setor 2
471,MG,3143807,Setor 2
472,MG,3143906,Setor 2
473,MG,3144003,Setor 2
474,MG,3144102,Setor 2
475,MG,3144201,Setor 2
476,MG,3144300,Setor 2
477,MG,3144359,Setor 2
478,MG,3144375,Setor 2
479,MG,3144409,Setor 2
480,MG,3144508,Setor 2
481,MG,3144607,Setor 2
482,MG,3144656,Setor 2
483,MG,3144672,Setor 2
484,MG,3144706,Setor 2
485,MG,3144805,Setor 2
486,MG,3144904,Setor 2
487,MG,3145059,Setor 2
488,MG,3145109,Setor 2
489,MG,3145307,Setor 2
490,MG,3145356,Setor 2
491,MG,3145372,Setor 2
492,MG,3145406,Setor 2
493,MG,3145455,Setor 2
494,MG,3145505,Setor 2
495,MG,3145604,Setor 2
496,MG,3145703,Setor 2
497,MG,3145802,Setor 2
498,MG,3145851,Setor 2
499,MG,3145877,Setor 2
500,MG,3145901,Setor 2
501,MG,3146008,Setor 2
502,MG,3146107,Setor 2
503,MG,3146206,Setor 2
504,MG,3146255,Setor 2
505,MG,3146305,Setor 2
506,MG,3146404,Setor 2
507,MG,3146503,Setor 2
508,MG,3146552,Setor 2
509,MG,3146602,Setor 2
510,MG,3146701,Setor 2
511,MG,3146750,Setor 2
512,MG,3147006,Setor 2
513,MG,3147204,Setor 2
514,MG,3147303,Setor 2
515,MG,3147402,Setor 2
516,MG,3147501,Setor 2
517,MG,3147600,Setor 2
518,MG,3147709,Setor 2
519,MG,3147808,Setor 2
520,MG,3147907,Setor 2
521,MG,3147956,Setor 2
522,MG,3148103,Setor 2
523,MG,3148202,Setor 2
524,MG,3148301,Setor 2
525,MG,3148400,Setor 2
526,MG,3148509,Setor 2
527,MG,3148608,Setor 2
528,MG,3148707,Setor 2
529,MG,3148756,Setor 2
530,MG,3148806,Setor 2
531,MG,3148905,Setor 2
532,MG,3149002,Setor 2
533,MG,3149101,Setor 2
534,MG,3149150,Setor 2
535,MG,3149309,Setor 2
536,MG,3149408,Setor 2
537,MG,3149507,Setor 2
538,MG,3149804,Setor 2
539,MG,3149903,Setor 2
540,MG,3149952,Setor 2
541,MG,3150000,Setor 2
542,MG,3150109,Setor 2
543,MG,3150158,Setor 2
544,MG,3150208,Setor 2
545,MG,3150307,Setor 2
546,MG,3150406,Setor 2
547,MG,3150505,Setor 2
548,MG,3150539,Setor 2
549,MG,3150570,Setor 2
550,MG,3150604,Setor 2
551,MG,3150802,Setor 2
552,MG,3150901,Setor 2
553,MG,3151008,Setor 2
554,MG,3151107,Setor 2
555,MG,3151206,Setor 2
556,MG,3151305,Setor 2
557,MG,3151503,Setor 2
